Submission ID,Dataset ID,Task Name,Scored Time (seconds)
204,36,Quiz1Q1,5.0
205,36,Quiz1Q1,8.8
206,38,Quiz1Q3,8.0
207,38,Quiz1Q3,7.1
208,36,Quiz1Q1,5.5
209,38,Quiz1Q3,8.1
210,36,Quiz1Q1,7.2
211,36,Quiz1Q1,6.5
212,36,Quiz1Q1,6.3
213,36,Quiz1Q1,5.7
214,38,Quiz1Q3,5.0
215,38,Quiz1Q3,4.9
216,37,Quiz1Q2,5.7
217,36,Quiz1Q1,6.0
218,38,Quiz1Q3,5.3
219,36,Quiz1Q1,4.9
220,36,Quiz1Q1,5.7
221,37,Quiz1Q2,8.6
222,37,Quiz1Q2,5.1
223,37,Quiz1Q2,11.0
225,37,Quiz1Q2,11.1
224,37,Quiz1Q2,11.1
226,38,Quiz1Q3,10.9
227,36,Quiz1Q1,5.5
228,37,Quiz1Q2,5.1
229,38,Quiz1Q3,5.1
230,36,Quiz1Q1,5.0
231,37,Quiz1Q2,5.0
232,36,Quiz1Q1,6.0
233,37,Quiz1Q2,5.7
234,38,Quiz1Q3,6.1
235,36,Quiz1Q1,4.9
236,38,Quiz1Q3,4.9
237,36,Quiz1Q1,5.0
238,38,Quiz1Q3,12.4
239,39,Quiz1Q4,9.2
240,37,Quiz1Q2,5.5
241,38,Quiz1Q3,5.1
242,36,Quiz1Q1,4.8
243,41,Quiz1Q6,7.2
244,39,Quiz1Q4,7.1
245,36,Quiz1Q1,5.1
246,38,Quiz1Q3,7.1
247,37,Quiz1Q2,5.1
248,38,Quiz1Q3,7.3
249,36,Quiz1Q1,5.3
250,36,Quiz1Q1,5.1
251,36,Quiz1Q1,5.0
252,37,Quiz1Q2,5.1
253,36,Quiz1Q1,4.9
254,41,Quiz1Q6,5.0
255,37,Quiz1Q2,5.2
256,38,Quiz1Q3,5.1
257,40,Quiz1Q5,7.1
258,36,Quiz1Q1,5.1
259,40,Quiz1Q5,7.9
260,38,Quiz1Q3,5.4
261,38,Quiz1Q3,5.1
262,36,Quiz1Q1,5.0
263,37,Quiz1Q2,5.1
264,38,Quiz1Q3,8.0
265,41,Quiz1Q6,6.4
266,37,Quiz1Q2,6.3
267,38,Quiz1Q3,5.1
268,37,Quiz1Q2,5.0
269,40,Quiz1Q5,5.1
270,37,Quiz1Q2,5.1
271,38,Quiz1Q3,4.8
272,37,Quiz1Q2,7.1
273,38,Quiz1Q3,6.9
274,38,Quiz1Q3,6.9
275,38,Quiz1Q3,7.0
276,39,Quiz1Q4,8.4
277,38,Quiz1Q3,5.3
278,38,Quiz1Q3,12.7
279,38,Quiz1Q3,7.0
280,38,Quiz1Q3,5.1
281,38,Quiz1Q3,8.2
282,38,Quiz1Q3,8.1
283,37,Quiz1Q2,5.1
284,38,Quiz1Q3,5.2
285,37,Quiz1Q2,8.1
286,38,Quiz1Q3,9.1
287,36,Quiz1Q1,5.5
288,38,Quiz1Q3,5.9
289,37,Quiz1Q2,5.0
290,38,Quiz1Q3,5.1
291,40,Quiz1Q5,5.1
292,40,Quiz1Q5,5.1
294,38,Quiz1Q3,8.9
293,38,Quiz1Q3,9.0
295,38,Quiz1Q3,5.7
296,38,Quiz1Q3,5.1
297,37,Quiz1Q2,6.6
298,37,Quiz1Q2,5.3
299,37,Quiz1Q2,6.0
300,38,Quiz1Q3,5.7
301,37,Quiz1Q2,7.1
302,37,Quiz1Q2,5.4
303,37,Quiz1Q2,5.0
304,38,Quiz1Q3,5.2
305,37,Quiz1Q2,2.8
306,38,Quiz1Q3,5.6
307,38,Quiz1Q3,8.0
308,36,Quiz1Q1,5.2
309,37,Quiz1Q2,5.7
310,38,Quiz1Q3,5.4
311,38,Quiz1Q3,5.0
312,37,Quiz1Q2,6.0
313,41,Quiz1Q6,7.4
314,38,Quiz1Q3,5.2
315,38,Quiz1Q3,5.9
316,38,Quiz1Q3,4.9
317,38,Quiz1Q3,5.0
318,37,Quiz1Q2,5.2
319,38,Quiz1Q3,8.6
320,37,Quiz1Q2,5.4
321,41,Quiz1Q6,6.5
322,37,Quiz1Q2,6.3
323,38,Quiz1Q3,5.0
324,37,Quiz1Q2,5.2
325,36,Quiz1Q1,5.0
326,38,Quiz1Q3,4.8
327,40,Quiz1Q5,7.0
328,38,Quiz1Q3,7.0
329,41,Quiz1Q6,5.6
331,38,Quiz1Q3,7.0
330,38,Quiz1Q3,7.7
332,41,Quiz1Q6,7.2
333,38,Quiz1Q3,5.1
334,38,Quiz1Q3,5.1
335,38,Quiz1Q3,6.2
336,38,Quiz1Q3,6.0
337,38,Quiz1Q3,5.1
338,38,Quiz1Q3,7.4
339,38,Quiz1Q3,7.3
341,37,Quiz1Q2,9.3
340,38,Quiz1Q3,12.8
342,38,Quiz1Q3,6.9
343,36,Quiz1Q1,4.8
344,38,Quiz1Q3,5.1
345,38,Quiz1Q3,5.1
346,38,Quiz1Q3,6.0
347,37,Quiz1Q2,5.1
348,36,Quiz1Q1,4.8
351,38,Quiz1Q3,2.5
349,38,Quiz1Q3,7.3
350,38,Quiz1Q3,5.5
352,38,Quiz1Q3,6.4
353,37,Quiz1Q2,5.3
354,40,Quiz1Q5,5.0
355,40,Quiz1Q5,5.1
356,37,Quiz1Q2,6.9
357,39,Quiz1Q4,5.2
358,39,Quiz1Q4,5.1
359,38,Quiz1Q3,5.5
360,38,Quiz1Q3,5.1
361,38,Quiz1Q3,7.6
362,37,Quiz1Q2,7.1
363,38,Quiz1Q3,6.8
364,38,Quiz1Q3,5.2
365,37,Quiz1Q2,6.3
366,38,Quiz1Q3,5.1
367,38,Quiz1Q3,5.5
368,38,Quiz1Q3,5.4
369,39,Quiz1Q4,12.5
370,39,Quiz1Q4,5.6
371,38,Quiz1Q3,8.7
372,40,Quiz1Q5,8.2
373,40,Quiz1Q5,7.1
374,39,Quiz1Q4,7.6
375,38,Quiz1Q3,5.2
376,38,Quiz1Q3,4.8
377,38,Quiz1Q3,5.7
378,38,Quiz1Q3,5.2
379,39,Quiz1Q4,5.1
380,41,Quiz1Q6,5.9
381,37,Quiz1Q2,4.9
382,36,Quiz1Q1,5.0
383,38,Quiz1Q3,5.1
384,40,Quiz1Q5,5.1
385,38,Quiz1Q3,5.0
386,38,Quiz1Q3,5.1
387,40,Quiz1Q5,5.1
388,40,Quiz1Q5,4.8
390,37,Quiz1Q2,5.5
389,38,Quiz1Q3,6.1
391,38,Quiz1Q3,5.0
392,39,Quiz1Q4,6.0
393,41,Quiz1Q6,5.0
394,40,Quiz1Q5,6.4
395,38,Quiz1Q3,6.4
396,40,Quiz1Q5,5.5
397,38,Quiz1Q3,8.1
398,38,Quiz1Q3,7.4
399,38,Quiz1Q3,6.2
400,38,Quiz1Q3,6.7
401,38,Quiz1Q3,5.0
402,38,Quiz1Q3,5.0
403,38,Quiz1Q3,6.7
404,39,Quiz1Q4,5.7
405,36,Quiz1Q1,5.7
406,38,Quiz1Q3,5.9
407,37,Quiz1Q2,6.6
408,40,Quiz1Q5,5.1
409,38,Quiz1Q3,5.0
410,36,Quiz1Q1,6.7
411,41,Quiz1Q6,5.6
412,40,Quiz1Q5,7.9
414,36,Quiz1Q1,3.9
413,38,Quiz1Q3,7.9
415,38,Quiz1Q3,7.4
416,38,Quiz1Q3,7.4
417,38,Quiz1Q3,4.9
418,38,Quiz1Q3,4.9
420,38,Quiz1Q3,5.9
419,37,Quiz1Q2,7.6
421,38,Quiz1Q3,6.1
422,37,Quiz1Q2,5.1
423,36,Quiz1Q1,5.0
424,38,Quiz1Q3,4.8
425,36,Quiz1Q1,5.9
426,41,Quiz1Q6,6.0
427,38,Quiz1Q3,5.1
428,38,Quiz1Q3,5.1
429,40,Quiz1Q5,7.1
430,38,Quiz1Q3,2.3
431,41,Quiz1Q6,6.6
432,38,Quiz1Q3,4.9
433,38,Quiz1Q3,5.1
434,41,Quiz1Q6,5.9
435,37,Quiz1Q2,5.1
436,38,Quiz1Q3,5.1
437,40,Quiz1Q5,8.5
438,38,Quiz1Q3,7.5
439,38,Quiz1Q3,5.6
440,38,Quiz1Q3,3.4
441,40,Quiz1Q5,9.0
442,37,Quiz1Q2,6.4
443,38,Quiz1Q3,5.2
444,38,Quiz1Q3,6.5
445,37,Quiz1Q2,5.2
446,38,Quiz1Q3,5.2
447,41,Quiz1Q6,7.7
448,38,Quiz1Q3,8.0
450,41,Quiz1Q6,10.2
449,38,Quiz1Q3,13.3
451,38,Quiz1Q3,6.4
452,38,Quiz1Q3,5.6
453,38,Quiz1Q3,6.7
454,37,Quiz1Q2,7.3
455,37,Quiz1Q2,6.7
456,37,Quiz1Q2,6.4
457,39,Quiz1Q4,6.0
458,36,Quiz1Q1,5.3
459,38,Quiz1Q3,6.7
460,38,Quiz1Q3,5.4
461,36,Quiz1Q1,8.0
462,38,Quiz1Q3,5.3
464,40,Quiz1Q5,6.2
463,38,Quiz1Q3,12.7
465,38,Quiz1Q3,5.9
466,38,Quiz1Q3,6.7
467,40,Quiz1Q5,5.9
468,40,Quiz1Q5,5.2
469,37,Quiz1Q2,7.0
470,41,Quiz1Q6,5.3
472,38,Quiz1Q3,7.6
471,38,Quiz1Q3,11.4
473,38,Quiz1Q3,5.6
474,38,Quiz1Q3,4.9
475,37,Quiz1Q2,5.1
476,38,Quiz1Q3,5.4
477,38,Quiz1Q3,5.5
478,37,Quiz1Q2,5.1
479,38,Quiz1Q3,5.1
480,37,Quiz1Q2,10.2
482,38,Quiz1Q3,9.5
481,37,Quiz1Q2,9.8
483,39,Quiz1Q4,9.5
484,40,Quiz1Q5,8.7
485,40,Quiz1Q5,9.8
486,36,Quiz1Q1,8.8
487,38,Quiz1Q3,6.8
488,38,Quiz1Q3,7.8
489,40,Quiz1Q5,6.6
490,38,Quiz1Q3,5.6
492,38,Quiz1Q3,8.5
491,38,Quiz1Q3,12.7
493,37,Quiz1Q2,7.1
494,37,Quiz1Q2,6.5
495,39,Quiz1Q4,7.5
496,38,Quiz1Q3,5.3
497,41,Quiz1Q6,6.4
498,38,Quiz1Q3,5.0
499,38,Quiz1Q3,5.8
500,40,Quiz1Q5,4.8
501,36,Quiz1Q1,5.9
502,39,Quiz1Q4,7.2
503,36,Quiz1Q1,5.2
504,38,Quiz1Q3,6.6
506,40,Quiz1Q5,7.1
505,38,Quiz1Q3,13.5
507,37,Quiz1Q2,2.6
508,41,Quiz1Q6,5.9
509,38,Quiz1Q3,4.8
511,37,Quiz1Q2,6.5
510,36,Quiz1Q1,7.6
512,37,Quiz1Q2,5.3
513,38,Quiz1Q3,7.6
514,38,Quiz1Q3,5.2
516,41,Quiz1Q6,5.9
515,41,Quiz1Q6,6.0
517,38,Quiz1Q3,5.5
518,38,Quiz1Q3,4.8
519,38,Quiz1Q3,5.1
520,40,Quiz1Q5,6.8
521,38,Quiz1Q3,5.2
522,38,Quiz1Q3,5.1
523,37,Quiz1Q2,5.9
524,36,Quiz1Q1,5.4
525,38,Quiz1Q3,5.1
526,38,Quiz1Q3,5.2
527,40,Quiz1Q5,5.4
528,38,Quiz1Q3,5.0
529,38,Quiz1Q3,10.1
530,41,Quiz1Q6,10.1
531,38,Quiz1Q3,6.9
532,41,Quiz1Q6,6.3
533,39,Quiz1Q4,5.7
534,40,Quiz1Q5,6.0
535,36,Quiz1Q1,6.3
536,38,Quiz1Q3,5.2
537,37,Quiz1Q2,5.1
538,40,Quiz1Q5,6.4
539,40,Quiz1Q5,5.7
540,38,Quiz1Q3,8.0
541,38,Quiz1Q3,7.5
542,39,Quiz1Q4,4.9
543,38,Quiz1Q3,5.2
544,38,Quiz1Q3,5.1
545,38,Quiz1Q3,5.2
546,38,Quiz1Q3,5.1
547,40,Quiz1Q5,5.1
548,38,Quiz1Q3,5.9
549,41,Quiz1Q6,5.3
550,38,Quiz1Q3,7.2
552,37,Quiz1Q2,5.3
551,38,Quiz1Q3,5.5
553,37,Quiz1Q2,6.3
554,38,Quiz1Q3,5.4
555,40,Quiz1Q5,5.7
556,38,Quiz1Q3,6.8
557,36,Quiz1Q1,6.0
558,37,Quiz1Q2,6.2
559,37,Quiz1Q2,5.9
560,41,Quiz1Q6,6.8
561,38,Quiz1Q3,6.7
562,38,Quiz1Q3,5.4
563,38,Quiz1Q3,5.1
564,38,Quiz1Q3,5.1
565,41,Quiz1Q6,5.1
566,37,Quiz1Q2,7.3
567,37,Quiz1Q2,11.5
568,38,Quiz1Q3,5.8
569,37,Quiz1Q2,5.2
570,37,Quiz1Q2,5.8
571,38,Quiz1Q3,7.4
572,41,Quiz1Q6,5.0
573,40,Quiz1Q5,4.8
574,41,Quiz1Q6,5.1
575,40,Quiz1Q5,5.8
576,38,Quiz1Q3,5.4
577,36,Quiz1Q1,5.5
578,41,Quiz1Q6,2.3
579,38,Quiz1Q3,5.2
580,37,Quiz1Q2,11.3
581,38,Quiz1Q3,7.9
582,38,Quiz1Q3,5.6
583,38,Quiz1Q3,13.2
584,40,Quiz1Q5,9.8
585,40,Quiz1Q5,8.1
586,38,Quiz1Q3,6.0
587,38,Quiz1Q3,7.3
588,38,Quiz1Q3,5.2
589,38,Quiz1Q3,7.3
590,40,Quiz1Q5,6.4
591,41,Quiz1Q6,5.1
592,38,Quiz1Q3,6.0
593,40,Quiz1Q5,5.4
594,41,Quiz1Q6,6.8
595,41,Quiz1Q6,5.2
596,38,Quiz1Q3,6.4
597,38,Quiz1Q3,5.2
598,39,Quiz1Q4,5.9
599,38,Quiz1Q3,5.1
600,38,Quiz1Q3,6.3
601,38,Quiz1Q3,5.1
602,38,Quiz1Q3,6.6
603,41,Quiz1Q6,5.0
604,39,Quiz1Q4,7.0
605,38,Quiz1Q3,5.5
606,36,Quiz1Q1,5.2
607,41,Quiz1Q6,4.9
608,39,Quiz1Q4,5.9
609,41,Quiz1Q6,7.7
610,40,Quiz1Q5,5.2
611,38,Quiz1Q3,5.1
612,36,Quiz1Q1,5.0
613,38,Quiz1Q3,6.0
614,36,Quiz1Q1,5.1
615,41,Quiz1Q6,7.1
616,40,Quiz1Q5,5.2
617,38,Quiz1Q3,6.4
618,39,Quiz1Q4,5.9
619,39,Quiz1Q4,8.4
620,38,Quiz1Q3,7.0
621,41,Quiz1Q6,5.6
622,41,Quiz1Q6,7.3
623,40,Quiz1Q5,5.6
624,38,Quiz1Q3,5.2
625,41,Quiz1Q6,6.9
626,41,Quiz1Q6,5.1
627,40,Quiz1Q5,4.9
628,41,Quiz1Q6,7.0
629,41,Quiz1Q6,5.2
630,38,Quiz1Q3,9.1
631,38,Quiz1Q3,7.3
632,39,Quiz1Q4,5.5
633,38,Quiz1Q3,9.2
634,38,Quiz1Q3,7.8
635,41,Quiz1Q6,7.3
636,39,Quiz1Q4,5.0
638,38,Quiz1Q3,5.4
637,41,Quiz1Q6,7.3
640,41,Quiz1Q6,6.8
639,37,Quiz1Q2,7.8
641,40,Quiz1Q5,6.0
642,38,Quiz1Q3,5.0
643,36,Quiz1Q1,5.7
644,41,Quiz1Q6,7.2
645,38,Quiz1Q3,4.9
646,37,Quiz1Q2,5.8
647,41,Quiz1Q6,5.5
648,39,Quiz1Q4,5.1
649,38,Quiz1Q3,5.1
650,41,Quiz1Q6,6.6
651,38,Quiz1Q3,10.6
652,38,Quiz1Q3,5.1
653,41,Quiz1Q6,6.0
654,39,Quiz1Q4,5.0
655,40,Quiz1Q5,6.5
656,38,Quiz1Q3,5.2
657,41,Quiz1Q6,5.0
658,40,Quiz1Q5,4.9
660,41,Quiz1Q6,10.4
659,41,Quiz1Q6,12.4
661,38,Quiz1Q3,8.8
662,40,Quiz1Q5,8.5
663,39,Quiz1Q4,6.2
664,41,Quiz1Q6,5.0
665,38,Quiz1Q3,5.4
666,40,Quiz1Q5,5.2
667,41,Quiz1Q6,5.9
668,41,Quiz1Q6,7.3
669,38,Quiz1Q3,5.1
670,39,Quiz1Q4,5.4
671,38,Quiz1Q3,5.4
672,41,Quiz1Q6,8.1
674,37,Quiz1Q2,7.3
673,38,Quiz1Q3,8.5
675,41,Quiz1Q6,5.7
676,38,Quiz1Q3,5.9
677,38,Quiz1Q3,5.1
678,38,Quiz1Q3,5.1
679,38,Quiz1Q3,5.1
680,38,Quiz1Q3,5.1
681,41,Quiz1Q6,5.1
682,41,Quiz1Q6,5.0
684,38,Quiz1Q3,8.1
683,41,Quiz1Q6,9.1
685,38,Quiz1Q3,5.8
686,41,Quiz1Q6,9.5
687,41,Quiz1Q6,5.5
688,38,Quiz1Q3,6.6
689,38,Quiz1Q3,6.6
690,39,Quiz1Q4,5.4
691,38,Quiz1Q3,7.7
692,41,Quiz1Q6,5.2
693,41,Quiz1Q6,5.8
694,41,Quiz1Q6,4.9
695,41,Quiz1Q6,5.2
696,41,Quiz1Q6,5.0
697,41,Quiz1Q6,5.1
698,39,Quiz1Q4,5.2
699,41,Quiz1Q6,5.2
700,38,Quiz1Q3,12.3
702,41,Quiz1Q6,10.3
703,41,Quiz1Q6,10.3
704,41,Quiz1Q6,10.4
705,41,Quiz1Q6,6.7
701,39,Quiz1Q4,15.1
706,41,Quiz1Q6,4.8
707,41,Quiz1Q6,5.1
708,38,Quiz1Q3,9.6
709,37,Quiz1Q2,8.9
710,41,Quiz1Q6,7.3
711,41,Quiz1Q6,7.1
712,41,Quiz1Q6,5.3
713,41,Quiz1Q6,5.0
714,41,Quiz1Q6,4.9
715,39,Quiz1Q4,5.1
716,41,Quiz1Q6,5.0
717,37,Quiz1Q2,5.8
718,41,Quiz1Q6,5.0
720,37,Quiz1Q2,2.8
719,41,Quiz1Q6,5.7
721,39,Quiz1Q4,5.0
723,40,Quiz1Q5,2.9
722,39,Quiz1Q4,5.7
724,41,Quiz1Q6,9.6
725,41,Quiz1Q6,9.7
726,37,Quiz1Q2,6.8
727,38,Quiz1Q3,7.4
728,41,Quiz1Q6,6.4
729,37,Quiz1Q2,5.8
730,41,Quiz1Q6,5.0
731,39,Quiz1Q4,8.6
732,39,Quiz1Q4,7.1
733,41,Quiz1Q6,5.7
734,39,Quiz1Q4,5.1
735,39,Quiz1Q4,5.0
737,41,Quiz1Q6,5.2
736,41,Quiz1Q6,5.4
738,38,Quiz1Q3,6.5
739,41,Quiz1Q6,5.9
740,41,Quiz1Q6,7.1
741,40,Quiz1Q5,5.1
742,37,Quiz1Q2,6.5
743,41,Quiz1Q6,5.1
744,37,Quiz1Q2,5.3
745,41,Quiz1Q6,9.0
746,38,Quiz1Q3,2.8
747,41,Quiz1Q6,5.1
748,39,Quiz1Q4,5.4
749,41,Quiz1Q6,5.7
750,40,Quiz1Q5,7.8
751,40,Quiz1Q5,5.1
752,39,Quiz1Q4,7.1
753,40,Quiz1Q5,7.0
754,37,Quiz1Q2,5.7
755,41,Quiz1Q6,5.2
756,40,Quiz1Q5,5.8
757,38,Quiz1Q3,6.4
758,37,Quiz1Q2,5.8
759,41,Quiz1Q6,6.0
760,41,Quiz1Q6,10.6
761,39,Quiz1Q4,6.5
763,41,Quiz1Q6,7.3
762,41,Quiz1Q6,7.6
764,38,Quiz1Q3,6.3
765,41,Quiz1Q6,5.1
766,41,Quiz1Q6,5.0
767,39,Quiz1Q4,5.1
768,37,Quiz1Q2,7.2
769,40,Quiz1Q5,6.3
770,41,Quiz1Q6,4.9
771,41,Quiz1Q6,5.5
772,40,Quiz1Q5,8.5
773,41,Quiz1Q6,5.3
774,39,Quiz1Q4,8.9
775,41,Quiz1Q6,8.0
776,40,Quiz1Q5,7.6
777,37,Quiz1Q2,5.7
778,37,Quiz1Q2,7.1
780,41,Quiz1Q6,7.4
779,37,Quiz1Q2,12.4
781,41,Quiz1Q6,8.1
782,39,Quiz1Q4,5.4
783,38,Quiz1Q3,7.2
784,39,Quiz1Q4,6.1
785,41,Quiz1Q6,5.8
786,39,Quiz1Q4,5.5
787,37,Quiz1Q2,5.2
788,41,Quiz1Q6,4.9
789,40,Quiz1Q5,6.7
790,41,Quiz1Q6,5.1
791,41,Quiz1Q6,5.8
793,37,Quiz1Q2,2.5
792,40,Quiz1Q5,5.1
794,41,Quiz1Q6,2.4
795,41,Quiz1Q6,5.0
796,39,Quiz1Q4,5.0
797,41,Quiz1Q6,6.0
798,41,Quiz1Q6,6.1
799,41,Quiz1Q6,9.3
800,41,Quiz1Q6,7.8
801,41,Quiz1Q6,7.4
802,37,Quiz1Q2,5.7
803,37,Quiz1Q2,5.6
804,39,Quiz1Q4,5.0
806,40,Quiz1Q5,5.9
805,39,Quiz1Q4,7.7
807,41,Quiz1Q6,6.4
808,39,Quiz1Q4,5.2
809,39,Quiz1Q4,5.4
810,39,Quiz1Q4,5.2
811,37,Quiz1Q2,6.4
812,40,Quiz1Q5,4.9
813,41,Quiz1Q6,5.0
814,41,Quiz1Q6,4.8
815,39,Quiz1Q4,11.4
816,37,Quiz1Q2,9.5
817,37,Quiz1Q2,8.5
818,38,Quiz1Q3,6.0
819,40,Quiz1Q5,5.8
820,39,Quiz1Q4,7.0
821,38,Quiz1Q3,5.1
822,41,Quiz1Q6,8.1
823,39,Quiz1Q4,5.4
824,36,Quiz1Q1,2.3
825,39,Quiz1Q4,5.1
826,41,Quiz1Q6,5.6
827,38,Quiz1Q3,6.0
828,39,Quiz1Q4,6.0
829,40,Quiz1Q5,8.6
830,40,Quiz1Q5,5.1
831,41,Quiz1Q6,6.6
832,40,Quiz1Q5,5.8
833,36,Quiz1Q1,5.6
834,41,Quiz1Q6,5.3
835,41,Quiz1Q6,6.5
836,41,Quiz1Q6,5.3
837,41,Quiz1Q6,6.0
838,41,Quiz1Q6,5.1
840,37,Quiz1Q2,7.1
839,40,Quiz1Q5,7.4
841,39,Quiz1Q4,5.1
842,41,Quiz1Q6,2.8
843,39,Quiz1Q4,5.1
844,41,Quiz1Q6,4.9
845,38,Quiz1Q3,5.7
846,40,Quiz1Q5,5.3
847,41,Quiz1Q6,5.9
848,40,Quiz1Q5,5.1
849,36,Quiz1Q1,5.2
850,41,Quiz1Q6,5.2
851,38,Quiz1Q3,5.8
852,40,Quiz1Q5,8.1
853,38,Quiz1Q3,6.1
854,40,Quiz1Q5,5.0
855,39,Quiz1Q4,6.7
856,38,Quiz1Q3,6.2
857,40,Quiz1Q5,5.3
858,38,Quiz1Q3,5.8
859,41,Quiz1Q6,5.6
860,37,Quiz1Q2,6.1
861,38,Quiz1Q3,5.2
862,39,Quiz1Q4,5.4
863,39,Quiz1Q4,5.7
864,39,Quiz1Q4,5.7
865,41,Quiz1Q6,4.9
866,38,Quiz1Q3,5.0
867,41,Quiz1Q6,6.7
868,41,Quiz1Q6,7.4
869,41,Quiz1Q6,6.6
870,38,Quiz1Q3,5.9
871,38,Quiz1Q3,8.8
872,37,Quiz1Q2,7.5
873,41,Quiz1Q6,5.6
874,41,Quiz1Q6,5.2
875,40,Quiz1Q5,7.1
876,37,Quiz1Q2,6.4
877,41,Quiz1Q6,5.3
878,41,Quiz1Q6,8.1
879,41,Quiz1Q6,9.3
880,40,Quiz1Q5,8.3
881,40,Quiz1Q5,7.3
882,39,Quiz1Q4,7.5
883,40,Quiz1Q5,5.5
884,40,Quiz1Q5,7.3
885,41,Quiz1Q6,7.4
886,41,Quiz1Q6,5.3
887,37,Quiz1Q2,11.6
889,40,Quiz1Q5,8.0
888,41,Quiz1Q6,9.5
890,40,Quiz1Q5,6.5
891,41,Quiz1Q6,6.2
892,41,Quiz1Q6,5.2
893,41,Quiz1Q6,4.9
895,41,Quiz1Q6,5.7
894,41,Quiz1Q6,6.2
896,41,Quiz1Q6,5.0
897,41,Quiz1Q6,4.9
899,40,Quiz1Q5,6.4
898,41,Quiz1Q6,6.7
900,40,Quiz1Q5,5.7
901,41,Quiz1Q6,5.1
902,40,Quiz1Q5,5.1
903,40,Quiz1Q5,7.2
904,41,Quiz1Q6,5.0
905,41,Quiz1Q6,5.2
906,40,Quiz1Q5,5.0
907,40,Quiz1Q5,5.1
909,39,Quiz1Q4,8.7
908,40,Quiz1Q5,9.1
911,37,Quiz1Q2,10.1
910,38,Quiz1Q3,14.2
912,38,Quiz1Q3,10.8
913,37,Quiz1Q2,6.6
914,38,Quiz1Q3,5.3
915,37,Quiz1Q2,7.9
916,40,Quiz1Q5,8.6
917,41,Quiz1Q6,7.0
918,39,Quiz1Q4,5.5
919,40,Quiz1Q5,5.4
920,37,Quiz1Q2,9.3
921,38,Quiz1Q3,5.6
922,40,Quiz1Q5,7.3
923,39,Quiz1Q4,7.1
924,38,Quiz1Q3,5.1
925,38,Quiz1Q3,11.5
926,37,Quiz1Q2,10.1
927,37,Quiz1Q2,9.9
928,41,Quiz1Q6,7.6
930,40,Quiz1Q5,3.2
929,41,Quiz1Q6,7.6
931,37,Quiz1Q2,6.4
932,38,Quiz1Q3,6.2
